Date,Close,Adj Close
04-10-1994,454.59,454.59
05-10-1994,453.52,453.52
06-10-1994,452.36,452.36
07-10-1994,455.1,455.1
10-10-1994,459.04,459.04
11-10-1994,465.79,465.79
12-10-1994,465.47,465.47
13-10-1994,467.79,467.79
14-10-1994,469.1,469.1
17-10-1994,468.96,468.96
18-10-1994,467.66,467.66
19-10-1994,470.28,470.28
20-10-1994,466.85,466.85
21-10-1994,464.89,464.89
24-10-1994,460.83,460.83
25-10-1994,461.53,461.53
26-10-1994,462.62,462.62
27-10-1994,465.85,465.85
28-10-1994,473.77,473.77
31-10-1994,472.35,472.35
01-11-1994,468.42,468.42
02-11-1994,466.51,466.51
03-11-1994,467.91,467.91
04-11-1994,462.28,462.28
07-11-1994,463.07,463.07
08-11-1994,465.65,465.65
09-11-1994,465.4,465.4
10-11-1994,464.37,464.37
11-11-1994,462.35,462.35
14-11-1994,466.04,466.04
15-11-1994,465.03,465.03
16-11-1994,465.62,465.62
17-11-1994,463.57,463.57
18-11-1994,461.47,461.47
21-11-1994,458.3,458.3
22-11-1994,450.09,450.09
23-11-1994,449.93,449.93
25-11-1994,452.29,452.29
28-11-1994,454.16,454.16
29-11-1994,455.17,455.17
30-11-1994,453.69,453.69
01-12-1994,448.92,448.92
02-12-1994,453.3,453.3
05-12-1994,453.32,453.32
06-12-1994,453.11,453.11
07-12-1994,451.23,451.23
08-12-1994,445.45,445.45
09-12-1994,446.96,446.96
12-12-1994,449.47,449.47
13-12-1994,450.15,450.15
14-12-1994,454.97,454.97
15-12-1994,455.34,455.34
16-12-1994,458.8,458.8
19-12-1994,457.91,457.91
20-12-1994,457.1,457.1
21-12-1994,459.61,459.61
22-12-1994,459.68,459.68
23-12-1994,459.83,459.83
27-12-1994,462.47,462.47
28-12-1994,460.86,460.86
29-12-1994,461.17,461.17
30-12-1994,459.27,459.27
03-01-1995,459.11,459.11
04-01-1995,460.71,460.71
05-01-1995,460.34,460.34
06-01-1995,460.68,460.68
09-01-1995,460.83,460.83
10-01-1995,461.68,461.68
11-01-1995,461.66,461.66
12-01-1995,461.64,461.64
13-01-1995,465.97,465.97
16-01-1995,469.38,469.38
17-01-1995,470.05,470.05
18-01-1995,469.71,469.71
19-01-1995,466.95,466.95
20-01-1995,464.78,464.78
23-01-1995,465.82,465.82
24-01-1995,465.86,465.86
25-01-1995,467.44,467.44
26-01-1995,468.32,468.32
27-01-1995,470.39,470.39
30-01-1995,468.51,468.51
31-01-1995,470.42,470.42
01-02-1995,470.4,470.4
02-02-1995,472.79,472.79
03-02-1995,478.65,478.65
06-02-1995,481.14,481.14
07-02-1995,480.81,480.81
08-02-1995,481.19,481.19
09-02-1995,480.19,480.19
10-02-1995,481.46,481.46
13-02-1995,481.65,481.65
14-02-1995,482.55,482.55
15-02-1995,484.54,484.54
16-02-1995,485.22,485.22
17-02-1995,481.97,481.97
21-02-1995,482.72,482.72
22-02-1995,485.07,485.07
23-02-1995,486.91,486.91
24-02-1995,488.11,488.11
27-02-1995,483.81,483.81
28-02-1995,487.39,487.39
01-03-1995,485.65,485.65
02-03-1995,485.13,485.13
03-03-1995,485.42,485.42
06-03-1995,485.63,485.63
07-03-1995,482.12,482.12
08-03-1995,483.14,483.14
09-03-1995,483.16,483.16
10-03-1995,489.57,489.57
13-03-1995,490.05,490.05
14-03-1995,492.89,492.89
15-03-1995,491.88,491.88
16-03-1995,495.41,495.41
17-03-1995,495.52,495.52
20-03-1995,496.14,496.14
21-03-1995,495.07,495.07
22-03-1995,495.67,495.67
23-03-1995,495.95,495.95
24-03-1995,500.97,500.97
27-03-1995,503.2,503.2
28-03-1995,503.9,503.9
29-03-1995,503.12,503.12
30-03-1995,502.22,502.22
31-03-1995,500.71,500.71
03-04-1995,501.85,501.85
04-04-1995,505.24,505.24
05-04-1995,505.57,505.57
06-04-1995,506.08,506.08
07-04-1995,506.42,506.42
10-04-1995,507.01,507.01
11-04-1995,505.53,505.53
12-04-1995,507.17,507.17
13-04-1995,509.23,509.23
17-04-1995,506.13,506.13
18-04-1995,505.37,505.37
19-04-1995,504.92,504.92
20-04-1995,505.29,505.29
21-04-1995,508.49,508.49
24-04-1995,512.89,512.89
25-04-1995,512.1,512.1
26-04-1995,512.66,512.66
27-04-1995,513.55,513.55
28-04-1995,514.71,514.71
01-05-1995,514.26,514.26
02-05-1995,514.86,514.86
03-05-1995,520.48,520.48
04-05-1995,520.54,520.54
05-05-1995,520.12,520.12
08-05-1995,523.96,523.96
09-05-1995,523.56,523.56
10-05-1995,524.36,524.36
11-05-1995,524.37,524.37
12-05-1995,525.55,525.55
15-05-1995,527.74,527.74
16-05-1995,528.19,528.19
17-05-1995,527.07,527.07
18-05-1995,519.58,519.58
19-05-1995,519.19,519.19
22-05-1995,523.65,523.65
23-05-1995,528.59,528.59
24-05-1995,528.61,528.61
25-05-1995,528.59,528.59
26-05-1995,523.65,523.65
30-05-1995,523.58,523.58
31-05-1995,533.4,533.4
01-06-1995,533.49,533.49
02-06-1995,532.51,532.51
05-06-1995,535.6,535.6
